1.6856,0.0153,0.0417,1.6717,-2.8114,-0.0637
1.8157,0.0095,-0.3511,1.6317,-2.6451,-0.2631
1.3847,0.0058,-1.0479,0.8963,-2.5612,-0.8897
1.8730,0.0172,-0.4139,1.3374,-2.6308,-0.2463
1.3110,0.0069,-1.1385,0.5271,-2.4600,-0.5406
1.5913,-0.0017,0.2021,1.2432,-2.4261,0.5361
1.6962,-0.0062,-0.6802,0.9964,-2.4864,-0.5448
1.6588,0.0183,-0.6937,0.8531,-2.7862,-0.4678
1.3491,0.0040,-1.0132,0.7955,-2.5639,-0.7560
1.7146,-0.0110,-0.7686,1.2924,-2.4831,-0.6884
1.5471,0.0202,0.1594,1.3431,-2.3272,0.5870
1.6474,-0.0022,-0.9482,0.9917,-2.6485,-0.6852
1.7261,0.0219,-0.5294,1.2793,-2.3305,-0.3001
1.8099,0.0231,-0.4939,1.1133,-2.5158,-0.4532
1.2029,0.0013,0.2356,1.4629,-2.3459,0.4658
1.4035,0.0182,-1.1047,0.9505,-2.5893,-0.7350
1.8111,-0.0032,-0.4457,1.2517,-2.7281,-0.4208
1.6620,0.0012,0.0410,1.3440,-2.5093,0.1305
1.6800,0.0071,-0.8699,0.8571,-2.4896,-0.6593
1.7402,0.0119,-0.0957,1.4366,-2.4416,0.2192
1.7591,-0.0086,-0.1599,1.4803,-2.5128,0.0207
1.4564,0.0200,-1.0783,0.8134,-2.5899,-0.8065
1.7314,-0.0094,-0.8310,1.1669,-2.5203,-0.6814
1.7893,0.0172,-0.3729,1.5583,-2.7275,-0.2750
